Siteid,year,spname,CountOfsp,Adjusted Rank,Sumofnumcaught,Relative-A,RANK ,no 11 and 17,,Blue - Native,Orange -NN,,,,,,,,,,,,
3,2013,RBT,4,185,190,0.021052632,6,,,,,,,,,,,,,,,,
3,2014,TUP,91,190,153,0.594771242,1,,,,,,,,,,,,,,,,
3,2014,SKR,36,191,153,0.235294118,2,,,,,,,,,,,,,,,,
3,2014,PKM,10,192,153,0.065359477,3,,,,,,,,,,,,,,,,
3,2014,GSF,6,193,153,0.039215686,4,,,,,,,,,,,,,,,,
3,2014,RBT,5,194,153,0.032679739,5,,,,,,,,,,,,,,,,
3,2014,SBK,3,195,153,0.019607843,6,,,,,,,,,,,,,,,,
3,2014,COT,2,196,153,0.013071895,7,,,,,,,,,,,,,,,,
3,2015,SKR,11,200,37,0.297297297,1,,,,,,,,,,,,,,,,
3,2015,RBT,8,201,37,0.216216216,2,,,,,,,,,,,,,,,,
3,2015,TUP,7,202,37,0.189189189,3,,,,,,,,,,,,,,,,
3,2015,PKM,4,203,37,0.108108108,4,,,,,,,,,,,,,,,,
3,2015,COT,3,204,37,0.081081081,5,,,,,,,,,,,,,,,,
3,2015,GSF,2,205,37,0.054054054,6,,,,,,,,,,,,,,,,
3,2015,LMB,1,206,37,0.027027027,7,,,,,,,,,,,,,,,,
3,2015,SBK,1,207,37,0.027027027,8,,,,,,,,,,,,,,,,
3,2016,TUP,30,210,57,0.526315789,1,,,,,,,,,,,,,,,,
3,2016,COT,10,211,57,0.175438596,2,,,,,,,,,,,,,,,,
3,2016,LMB,5,212,57,0.087719298,3,,,,,,,,,,,,,,,,
3,2016,RBT,5,213,57,0.087719298,4,,,,,,,,,,,,,,,,
3,2016,PKM,4,214,57,0.070175439,5,,,,,,,,,,,,,,,,
3,2016,SKR,3,215,57,0.052631579,6,,,,,,,,,,,,,,,,
