Siteid,year,spname,CountOfsp,Rank-A,adj rank,Sumofnumcaught,Relative-A,,2000 and 2001,,,Blue - Native,Orange-NN
9,1997,GSF,2,5,44,73,0.02739726,,,,,,
9,1997,WRM,2,6,45,73,0.02739726,,,,,,
9,1997,BCR,1,7,46,73,0.01369863,,,,,,
9,1997,MSQ,1,8,47,73,0.01369863,,,,,,
9,1997,TUP,1,9,48,73,0.01369863,,,,,,
9,1998,BGS,77,1,50,122,0.631147541,,,,,,
9,1998,LMB,12,2,51,122,0.098360656,,,,,,
9,1998,GSF,10,3,52,122,0.081967213,,,,,,
9,1998,BLP,6,4,53,122,0.049180328,,,,,,
9,1998,RES,5,5,54,122,0.040983607,,,,,,
9,1998,MSQ,4,6,55,122,0.032786885,,,,,,
9,1998,RSH,3,7,56,122,0.024590164,,,,,,
9,1998,SMB,3,8,57,122,0.024590164,,,,,,
9,1998,BCR,1,9,58,122,0.008196721,,,,,,
9,1998,TUP,1,10,59,122,0.008196721,,,,,,
9,1999,LMB,19,1,60,64,0.296875,,,,,,
9,1999,BGS,15,2,61,64,0.234375,,,,,,
9,1999,GSF,9,3,62,64,0.140625,,,,,,
9,1999,BLP,8,4,63,64,0.125,,,,,,
9,1999,MSQ,5,5,64,64,0.078125,,,,,,
9,1999,RSH,4,6,65,64,0.0625,,,,,,
9,1999,BCR,1,7,66,64,0.015625,,,,,,
9,1999,PKM,1,8,67,64,0.015625,,,,,,
9,1999,RES,1,9,68,64,0.015625,,,,,,
9,1999,WRM,1,10,69,64,0.015625,,,,,,
9,2002,BGS,141,1,70,259,0.544401544,,,,,,
9,2002,ISS,31,2,71,259,0.11969112,,,,,,
9,2002,LMB,31,3,72,259,0.11969112,,,,,,
9,2002,GSF,21,4,73,259,0.081081081,,,,,,
9,2002,BLP,14,5,74,259,0.054054054,,,,,,
9,2002,RES,9,6,75,259,0.034749035,,,,,,
9,2002,MSQ,6,7,76,259,0.023166023,,,,,,
9,2002,PLR,3,8,77,259,0.011583012,,,,,,
9,2002,SKR,1,9,78,259,0.003861004,,,,,,
9,2002,WCF,1,10,79,259,0.003861004,,,,,,
9,2002,WRM,1,11,80,259,0.003861004,,,,,,
9,2003,BGS,176,1,80,260,0.676923077,,,,,,
9,2003,GSF,27,2,81,260,0.103846154,,,,,,
9,2003,LMB,20,3,82,260,0.076923077,,,,,,
9,2003,SKR,12,4,83,260,0.046153846,,,,,,
9,2003,BLP,11,5,84,260,0.042307692,,,,,,
9,2003,RES,11,6,85,260,0.042307692,,,,,,
9,2003,LEP,2,7,86,260,0.007692308,,,,,,
9,2003,PKM,1,8,87,260,0.003846154,,,,,,
9,2004,BGS,76,1,90,153,0.496732026,,,,,,
9,2004,LMB,33,2,91,153,0.215686275,,,,,,
9,2004,GSF,31,3,92,153,0.202614379,,,,,,
9,2004,MSQ,4,4,93,153,0.026143791,,,,,,
9,2004,RES,4,5,94,153,0.026143791,,,,,,
9,2004,LEP,3,6,95,153,0.019607843,,,,,,
9,2004,SMB,2,7,96,153,0.013071895,,,,,,
9,2005,BGS,231,1,100,341,0.677419355,,,,,,
9,2005,GSF,35,2,101,341,0.102639296,,,,,,
9,2005,LMB,28,3,102,341,0.082111437,,,,,,
9,2005,RES,15,4,103,341,0.04398827,,,,,,
9,2005,BLP,13,5,104,341,0.038123167,,,,,,
9,2005,PMK,5,6,105,341,0.014662757,,,,,,
9,2005,TUP,5,7,106,341,0.014662757,,,,,,
9,2005,ISS,3,8,107,341,0.008797654,,,,,,
9,2005,WCF,2,9,108,341,0.005865103,,,,,,
9,2005,COT,1,10,109,341,0.002932551,,,,,,
9,2005,MSQ,1,11,110,341,0.002932551,,,,,,
9,2005,PKM,1,12,111,341,0.002932551,,,,,,
9,2005,RSH,1,13,112,341,0.002932551,,,,,,
9,2006,BGS,285,1,110,399,0.714285714,,,,,,
9,2006,LMB,25,2,111,399,0.062656642,,,,,,
9,2006,GSF,21,3,112,399,0.052631579,,,,,,
9,2006,ISS,17,4,113,399,0.042606516,,,,,,
9,2006,RES,17,5,114,399,0.042606516,,,,,,
9,2006,BLP,16,6,115,399,0.040100251,,,,,,
9,2006,PKM,5,7,116,399,0.012531328,,,,,,
9,2006,COT,3,8,117,399,0.007518797,,,,,,
9,2006,TUP,3,9,118,399,0.007518797,,,,,,
9,2006,SMB,2,10,119,399,0.005012531,,,,,,
9,2006,WCF,2,11,120,399,0.005012531,,,,,,
9,2006,FHM,1,12,121,399,0.002506266,,,,,,
9,2006,LEP,1,13,122,399,0.002506266,,,,,,
9,2006,SKR,1,14,123,399,0.002506266,,,,,,
9,2007,BGS,112,1,120,293,0.38225256,,,,,,
9,2007,LMB,78,2,121,293,0.266211604,,,,,,
9,2007,ISS,57,3,122,293,0.194539249,,,,,,
9,2007,RES,20,4,123,293,0.068259386,,,,,,
9,2007,GSF,14,5,124,293,0.04778157,,,,,,
9,2007,BLP,5,6,125,293,0.017064846,,,,,,
9,2007,COT,3,7,126,293,0.010238908,,,,,,
9,2007,MSQ,2,8,127,293,0.006825939,,,,,,
9,2007,SMB,1,9,128,293,0.003412969,,,,,,
9,2007,WCF,1,10,129,293,0.003412969,,,,,,
9,2008,BGS,172,1,130,482,0.356846473,,,,,,
9,2008,BLP,120,2,131,482,0.248962656,,,,,,
9,2008,LMB,119,3,132,482,0.246887967,,,,,,
9,2008,RES,38,4,133,482,0.078838174,,,,,,
9,2008,GSF,16,5,134,482,0.033195021,,,,,,
9,2008,ISS,7,6,135,482,0.014522822,,,,,,
9,2008,COT,3,7,136,482,0.006224066,,,,,,
9,2008,LEP,2,8,137,482,0.004149378,,,,,,
9,2008,PKM,2,9,138,482,0.004149378,,,,,,
9,2008,SKR,2,10,139,482,0.004149378,,,,,,
9,2008,MSQ,1,11,140,482,0.002074689,,,,,,
9,2010,LMB,86,1,140,288,0.298611111,,,,,,
9,2010,ISS,77,2,141,288,0.267361111,,,,,,
9,2010,BGS,60,3,142,288,0.208333333,,,,,,
9,2010,GSF,38,4,143,288,0.131944444,,,,,,
9,2010,BLP,18,5,144,288,0.0625,,,,,,
9,2010,RES,6,6,145,288,0.020833333,,,,,,
9,2010,BBH,1,7,146,288,0.003472222,,,,,,
9,2010,CCF,1,8,147,288,0.003472222,,,,,,
9,2010,PKM,1,9,148,288,0.003472222,,,,,,
9,2011,LMB,196,1,150,510,0.384313725,,,,,,
9,2011,ISS,146,2,151,510,0.28627451,,,,,,
9,2011,BLP,76,3,152,510,0.149019608,,,,,,
9,2011,BGS,49,4,153,510,0.096078431,,,,,,
9,2011,GSF,35,5,154,510,0.068627451,,,,,,
9,2011,PKM,2,6,155,510,0.003921569,,,,,,
9,2011,TUP,2,7,156,510,0.003921569,,,,,,
9,2011,MSQ,1,8,157,510,0.001960784,,,,,,
9,2011,RES,1,9,158,510,0.001960784,,,,,,
9,2011,SKR,1,10,159,510,0.001960784,,,,,,
9,2011,SPB,1,11,160,510,0.001960784,,,,,,
9,2012,LMB,88,1,160,193,0.455958549,,,,,,
9,2012,BGS,70,2,161,193,0.362694301,,,,,,
9,2012,GSF,11,3,162,193,0.056994819,,,,,,
9,2012,SMB,11,4,163,193,0.056994819,,,,,,
9,2012,ISS,6,5,164,193,0.031088083,,,,,,
9,2012,BLP,5,6,165,193,0.025906736,,,,,,
9,2012,SPB,1,7,166,193,0.005181347,,,,,,
9,2012,TUP,1,8,167,193,0.005181347,,,,,,
9,2013,LMB,138,1,170,250,0.552,,,,,,
9,2013,ISS,60,2,171,250,0.24,,,,,,
9,2013,MSQ,18,3,172,250,0.072,,,,,,
9,2013,BLP,14,4,173,250,0.056,,,,,,
9,2013,BGS,12,5,174,250,0.048,,,,,,
9,2013,GSF,6,6,175,250,0.024,,,,,,
9,2013,COT,1,7,176,250,0.004,,,,,,
9,2013,SKR,1,8,177,250,0.004,,,,,,
9,2014,LMB,140,1,180,189,0.740740741,,,,,,
9,2014,BLP,12,2,181,189,0.063492063,,,,,,
9,2014,GSF,12,3,182,189,0.063492063,,,,,,
9,2014,BGS,9,4,183,189,0.047619048,,,,,,
9,2014,MSQ,5,5,184,189,0.026455026,,,,,,
9,2014,SPB,4,6,185,189,0.021164021,,,,,,
9,2014,SMB,3,7,186,189,0.015873016,,,,,,
9,2014,COT,1,8,187,189,0.005291005,,,,,,
9,2014,GLF,1,9,188,189,0.005291005,,,,,,
9,2014,STB,1,10,189,189,0.005291005,,,,,,
9,2014,WCF,1,11,190,189,0.005291005,,,,,,
9,2015,LMB,83,1,190,113,0.734513274,,,,,,
9,2015,BGS,14,2,191,113,0.123893805,,,,,,
9,2015,SMB,7,3,192,113,0.061946903,,,,,,
9,2015,BLP,4,4,193,113,0.03539823,,,,,,
9,2015,GSF,3,5,194,113,0.026548673,,,,,,
9,2015,ISS,1,6,195,113,0.008849558,,,,,,
9,2015,RES,1,7,196,113,0.008849558,,,,,,
9,2016,BGS,51,1,200,94,0.542553191,,,,,,
9,2016,LMB,36,2,201,94,0.382978723,,,,,,
9,2016,SPB,3,3,202,94,0.031914894,,,,,,
9,2016,GSF,2,4,203,94,0.021276596,,,,,,
9,2016,COT,1,5,204,94,0.010638298,,,,,,
9,2016,MSQ,1,6,205,94,0.010638298,,,,,,
9,2017,BGS,109,1,210,232,0.469827586,,,,,,
9,2017,LMB,41,2,211,232,0.176724138,,,,,,
9,2017,BLP,24,3,212,232,0.103448276,,,,,,
9,2017,ISS,18,4,213,232,0.077586207,,,,,,
9,2017,GSF,16,5,214,232,0.068965517,,,,,,
9,2017,RES,8,6,215,232,0.034482759,,,,,,
9,2017,COT,3,7,216,232,0.012931034,,,,,,
9,2017,PKM,3,8,217,232,0.012931034,,,,,,
9,2017,SMB,3,9,218,232,0.012931034,,,,,,
9,2017,SPB,3,10,219,232,0.012931034,,,,,,
9,2017,RSH,2,11,220,232,0.00862069,,,,,,
9,2017,MSQ,1,12,221,232,0.004310345,,,,,,
9,2017,WCF,1,13,222,232,0.004310345,,,,,,
