Siteid,year,spname,CountOfsp,Rank-A,adj rank,Sumofnumcaught,Relative-A,,,Blue - Native,Orange -NN,,
10,1997,WCF,1,12,51,117,0.008547009,,,,,,
10,1997,WRM,1,13,52,117,0.008547009,,,,,,
10,1998,BGS,98,1,50,229,0.427947598,,,,,,
10,1998,RSH,69,2,51,229,0.301310044,,,,,,
10,1998,BLP,29,3,52,229,0.126637555,,,,,,
10,1998,GSF,18,4,53,229,0.07860262,,,,,,
10,1998,LMB,6,5,54,229,0.026200873,,,,,,
10,1998,FHM,4,6,55,229,0.017467249,,,,,,
10,1998,MSQ,2,7,56,229,0.008733624,,,,,,
10,1998,COT,1,8,57,229,0.004366812,,,,,,
10,1998,CRP,1,9,58,229,0.004366812,,,,,,
10,1998,PKM,1,10,59,229,0.004366812,,,,,,
10,1999,ISS,69,1,60,262,0.263358779,,,,,,
10,1999,GSF,45,2,61,262,0.171755725,,,,,,
10,1999,MSQ,42,3,62,262,0.160305344,,,,,,
10,1999,BGS,35,4,63,262,0.133587786,,,,,,
10,1999,LMB,30,5,64,262,0.114503817,,,,,,
10,1999,BLP,16,6,65,262,0.061068702,,,,,,
10,1999,RSH,12,7,66,262,0.045801527,,,,,,
10,1999,PKM,6,8,67,262,0.022900763,,,,,,
10,1999,GLF,3,9,68,262,0.011450382,,,,,,
10,1999,CRP,2,10,69,262,0.007633588,,,,,,
10,1999,LEP,1,11,70,262,0.003816794,,,,,,
10,1999,SKR,1,12,71,262,0.003816794,,,,,,
10,2000,RSH,109,1,70,352,0.309659091,,,,,,
10,2000,MSQ,75,2,71,352,0.213068182,,,,,,
10,2000,ISS,46,3,72,352,0.130681818,,,,,,
10,2000,FHM,45,4,73,352,0.127840909,,,,,,
10,2000,LMB,24,5,74,352,0.068181818,,,,,,
10,2000,GSF,17,6,75,352,0.048295455,,,,,,
10,2000,BLP,12,7,76,352,0.034090909,,,,,,
10,2000,SKR,8,8,77,352,0.022727273,,,,,,
10,2000,BGS,6,9,78,352,0.017045455,,,,,,
10,2000,CCF,3,10,79,352,0.008522727,,,,,,
10,2000,LEP,2,11,80,352,0.005681818,,,,,,
10,2000,STB,2,12,81,352,0.005681818,,,,,,
10,2000,BCR,1,13,82,352,0.002840909,,,,,,
10,2000,GLF,1,14,83,352,0.002840909,,,,,,
10,2000,RES,1,15,84,352,0.002840909,,,,,,
10,2001,LMB,92,1,80,441,0.20861678,,,,,,
10,2001,ISS,89,2,81,441,0.201814059,,,,,,
10,2001,BGS,84,3,82,441,0.19047619,,,,,,
10,2001,GSF,55,4,83,441,0.124716553,,,,,,
10,2001,GLF,49,5,84,441,0.111111111,,,,,,
10,2001,BLP,17,6,85,441,0.038548753,,,,,,
10,2001,BBH,15,7,86,441,0.034013605,,,,,,
10,2001,WRM,12,8,87,441,0.027210884,,,,,,
10,2001,SKR,6,9,88,441,0.013605442,,,,,,
10,2001,CCF,4,10,89,441,0.009070295,,,,,,
10,2001,PKM,4,11,90,441,0.009070295,,,,,,
10,2001,LEP,3,12,91,441,0.006802721,,,,,,
10,2001,RSH,3,13,92,441,0.006802721,,,,,,
10,2001,PLR,2,14,93,441,0.004535147,,,,,,
10,2001,FHM,1,15,94,441,0.002267574,,,,,,
10,2001,MSQ,1,16,95,441,0.002267574,,,,,,
10,2001,SMB,1,17,96,441,0.002267574,,,,,,
10,2001,STB,1,18,97,441,0.002267574,,,,,,
10,2001,WCF,1,19,98,441,0.002267574,,,,,,
10,2001,YFG,1,20,99,441,0.002267574,,,,,,
10,2002,BGS,105,1,90,222,0.472972973,,,,,,
10,2002,LMB,39,2,91,222,0.175675676,,,,,,
10,2002,ISS,22,3,92,222,0.099099099,,,,,,
10,2002,GSF,20,4,93,222,0.09009009,,,,,,
10,2002,BLP,16,5,94,222,0.072072072,,,,,,
10,2002,SKR,5,6,95,222,0.022522523,,,,,,
10,2002,CRP,4,7,96,222,0.018018018,,,,,,
10,2002,MSQ,4,8,97,222,0.018018018,,,,,,
10,2002,BBH,2,9,98,222,0.009009009,,,,,,
10,2002,PKM,2,10,99,222,0.009009009,,,,,,
10,2002,SBF,2,11,100,222,0.009009009,,,,,,
10,2002,WCF,1,12,101,222,0.004504505,,,,,,
10,2003,BGS,252,1,100,413,0.610169492,,,,,,
10,2003,RSH,55,2,101,413,0.133171913,,,,,,
10,2003,ISS,39,3,102,413,0.094430993,,,,,,
10,2003,LMB,36,4,103,413,0.08716707,,,,,,
10,2003,GSF,17,5,104,413,0.041162228,,,,,,
10,2003,BLP,4,6,105,413,0.00968523,,,,,,
10,2003,FHM,3,7,106,413,0.007263923,,,,,,
10,2003,COT,2,8,107,413,0.004842615,,,,,,
10,2003,RES,2,9,108,413,0.004842615,,,,,,
10,2003,WCF,2,10,109,413,0.004842615,,,,,,
10,2003,SKR,1,11,110,413,0.002421308,,,,,,
10,2004,RSH,113,1,110,377,0.299734748,,,,,,
10,2004,ISS,96,2,111,377,0.25464191,,,,,,
10,2004,BGS,57,3,112,377,0.151193634,,,,,,
10,2004,LMB,57,4,113,377,0.151193634,,,,,,
10,2004,BLP,15,5,114,377,0.039787798,,,,,,
10,2004,GSF,11,6,115,377,0.029177719,,,,,,
10,2004,PKM,8,7,116,377,0.021220159,,,,,,
10,2004,RES,5,8,117,377,0.013262599,,,,,,
10,2004,LEP,4,9,118,377,0.01061008,,,,,,
10,2004,CRP,2,10,119,377,0.00530504,,,,,,
10,2004,MSQ,2,11,120,377,0.00530504,,,,,,
10,2004,SMB,2,12,121,377,0.00530504,,,,,,
10,2004,BBH,1,13,122,377,0.00265252,,,,,,
10,2004,CCF,1,14,123,377,0.00265252,,,,,,
10,2004,FHM,1,15,124,377,0.00265252,,,,,,
10,2004,GLF,1,16,125,377,0.00265252,,,,,,
10,2004,WRM,1,12,126,377,0.00265252,,,,,,
10,2005,BGS,73,1,120,284,0.257042254,,,,,,
10,2005,RSH,53,2,121,285,0.185964912,,,,,,
10,2005,LMB,44,3,122,285,0.154385965,,,,,,
10,2005,ISS,34,4,123,285,0.119298246,,,,,,
10,2005,RES,23,5,124,285,0.080701754,,,,,,
10,2005,BLP,19,6,125,285,0.066666667,,,,,,
10,2005,SKR,15,7,126,285,0.052631579,,,,,,
10,2005,GSF,10,8,127,285,0.035087719,,,,,,
10,2005,PKM,5,9,128,285,0.01754386,,,,,,
10,2005,PMK,3,10,129,285,0.010526316,,,,,,
10,2005,WRM,2,11,130,285,0.007017544,,,,,,
10,2005,COT,1,13,132,285,0.003508772,,,,,,
10,2005,LEP,1,14,133,285,0.003508772,,,,,,
10,2005,WCF,1,15,134,285,0.003508772,,,,,,
10,2006,BGS,121,1,130,312,0.387820513,,,,,,
10,2006,LMB,50,2,131,312,0.16025641,,,,,,
10,2006,RSH,44,3,132,312,0.141025641,,,,,,
10,2006,ISS,26,4,133,312,0.083333333,,,,,,
10,2006,RES,20,5,134,312,0.064102564,,,,,,
10,2006,MSQ,11,6,135,312,0.03525641,,,,,,
10,2006,CCF,8,7,136,312,0.025641026,,,,,,
10,2006,GSF,8,8,137,312,0.025641026,,,,,,
10,2006,PKM,8,9,138,312,0.025641026,,,,,,
10,2006,BLP,5,10,139,312,0.016025641,,,,,,
10,2006,SKR,5,11,140,312,0.016025641,,,,,,
10,2006,COT,2,12,141,312,0.006410256,,,,,,
10,2006,GLF,2,13,142,312,0.006410256,,,,,,
10,2006,CRP,1,14,143,312,0.003205128,,,,,,
10,2006,PMK,1,15,144,312,0.003205128,,,,,,
10,2007,BGS,128,1,140,425,0.301176471,,,,,,
10,2007,RES,91,2,141,425,0.214117647,,,,,,
10,2007,RSH,65,3,142,425,0.152941176,,,,,,
10,2007,LMB,64,4,143,425,0.150588235,,,,,,
10,2007,ISS,52,5,144,425,0.122352941,,,,,,
10,2007,BLP,8,6,145,425,0.018823529,,,,,,
10,2007,PKM,7,7,146,425,0.016470588,,,,,,
10,2007,GLF,4,8,147,425,0.009411765,,,,,,
10,2007,SKR,2,9,148,425,0.004705882,,,,,,
10,2007,COT,1,10,149,425,0.002352941,,,,,,
10,2007,GSF,1,11,150,425,0.002352941,,,,,,
10,2007,WCF,1,12,151,425,0.002352941,,,,,,
10,2007,WRM,1,13,152,425,0.002352941,,,,,,
10,2008,BGS,142,1,150,632,0.224683544,,,,,,
10,2008,LMB,141,2,151,632,0.223101266,,,,,,
10,2008,ISS,120,3,152,632,0.189873418,,,,,,
10,2008,BLP,71,4,153,632,0.112341772,,,,,,
10,2008,RES,57,5,154,632,0.090189873,,,,,,
10,2008,SKR,37,6,155,632,0.058544304,,,,,,
10,2008,RSH,24,7,156,632,0.037974684,,,,,,
10,2008,PKM,13,8,157,632,0.02056962,,,,,,
10,2008,COT,7,9,158,632,0.011075949,,,,,,
10,2008,GLF,7,10,159,632,0.011075949,,,,,,
10,2008,GSF,4,11,160,632,0.006329114,,,,,,
10,2008,WCF,4,12,161,632,0.006329114,,,,,,
10,2008,CRP,3,13,162,632,0.004746835,,,,,,
10,2008,FHM,1,14,163,632,0.001582278,,,,,,
10,2008,MSQ,1,15,164,632,0.001582278,,,,,,
10,2010,ISS,154,1,160,333,0.462462462,,,,,,
10,2010,LMB,95,2,161,333,0.285285285,,,,,,
10,2010,BGS,26,3,162,333,0.078078078,,,,,,
10,2010,BLP,15,4,163,333,0.045045045,,,,,,
10,2010,CRP,10,5,164,333,0.03003003,,,,,,
10,2010,RES,10,6,165,333,0.03003003,,,,,,
10,2010,RSH,5,7,166,333,0.015015015,,,,,,
10,2010,GSF,4,8,167,333,0.012012012,,,,,,
10,2010,PKM,4,9,168,333,0.012012012,,,,,,
10,2010,SKR,4,10,169,333,0.012012012,,,,,,
10,2010,WCF,2,11,170,333,0.006006006,,,,,,
10,2010,WRM,2,12,171,333,0.006006006,,,,,,
10,2010,CCF,1,13,172,333,0.003003003,,,,,,
10,2010,MSQ,1,14,173,333,0.003003003,,,,,,
10,2011,ISS,278,1,170,532,0.522556391,,,,,,
10,2011,LMB,161,2,171,532,0.302631579,,,,,,
10,2011,BLP,25,3,172,532,0.046992481,,,,,,
10,2011,BGS,17,4,173,532,0.031954887,,,,,,
10,2011,GSF,17,5,174,532,0.031954887,,,,,,
10,2011,PKM,9,6,175,532,0.016917293,,,,,,
10,2011,SKR,7,7,176,532,0.013157895,,,,,,
10,2011,GLF,6,8,177,532,0.011278195,,,,,,
10,2011,RES,5,9,178,532,0.009398496,,,,,,
10,2011,TUP,5,10,179,532,0.009398496,,,,,,
10,2011,BBH,1,11,180,532,0.001879699,,,,,,
10,2011,COT,1,12,181,532,0.001879699,,,,,,
10,2012,ISS,361,1,180,587,0.614991482,,,,,,
10,2012,LMB,142,2,181,587,0.241908007,,,,,,
10,2012,BGS,22,3,182,587,0.037478705,,,,,,
10,2012,BLP,22,4,183,587,0.037478705,,,,,,
10,2012,PKM,10,5,184,587,0.017035775,,,,,,
10,2012,SKR,8,6,185,587,0.01362862,,,,,,
10,2012,GSF,7,7,186,587,0.011925043,,,,,,
10,2012,RSH,6,8,187,587,0.010221465,,,,,,
10,2012,SMB,4,9,188,587,0.00681431,,,,,,
10,2012,GSH,2,10,189,587,0.003407155,,,,,,
10,2012,RES,2,11,190,587,0.003407155,,,,,,
10,2012,WCF,1,12,191,587,0.001703578,,,,,,
10,2013,LMB,109,1,190,217,0.502304147,,,,,,
10,2013,ISS,38,2,191,217,0.175115207,,,,,,
10,2013,GSF,20,3,192,217,0.092165899,,,,,,
10,2013,PKM,10,4,193,217,0.046082949,,,,,,
10,2013,BLP,9,5,194,217,0.041474654,,,,,,
10,2013,RSH,6,6,195,217,0.02764977,,,,,,
10,2013,MSQ,5,7,196,217,0.023041475,,,,,,
10,2013,SKR,5,8,197,217,0.023041475,,,,,,
10,2013,BGS,4,9,198,217,0.01843318,,,,,,
10,2013,COT,4,10,199,217,0.01843318,,,,,,
10,2013,CRP,2,11,200,217,0.00921659,,,,,,
10,2013,WCF,2,12,201,217,0.00921659,,,,,,
10,2013,WRM,2,13,202,217,0.00921659,,,,,,
10,2013,RES,1,14,203,217,0.004608295,,,,,,
10,2014,LMB,100,1,200,254,0.393700787,,,,,,
10,2014,ISS,61,2,201,254,0.24015748,,,,,,
10,2014,BGS,32,3,202,254,0.125984252,,,,,,
10,2014,GSF,13,4,203,254,0.051181102,,,,,,
10,2014,MSQ,12,5,204,254,0.047244094,,,,,,
10,2014,BLP,9,6,205,254,0.035433071,,,,,,
10,2014,GSH,6,7,206,254,0.023622047,,,,,,
10,2014,SKR,5,8,207,254,0.019685039,,,,,,
10,2014,PKM,4,9,208,254,0.015748031,,,,,,
10,2014,SPB,3,10,209,254,0.011811024,,,,,,
10,2014,COT,2,11,210,254,0.007874016,,,,,,
10,2014,GLF,2,12,211,254,0.007874016,,,,,,
10,2014,RSH,2,13,212,254,0.007874016,,,,,,
10,2014,TUP,2,14,213,254,0.007874016,,,,,,
10,2014,RES,1,15,214,254,0.003937008,,,,,,
10,2015,LMB,37,1,210,128,0.2890625,,,,,,
10,2015,BGS,27,2,211,128,0.2109375,,,,,,
10,2015,ISS,20,3,212,128,0.15625,,,,,,
10,2015,MSQ,9,4,213,128,0.0703125,,,,,,
10,2015,BLP,5,5,214,128,0.0390625,,,,,,
10,2015,GSF,5,6,215,128,0.0390625,,,,,,
10,2015,PKM,5,7,216,128,0.0390625,,,,,,
10,2015,RES,5,8,217,128,0.0390625,,,,,,
10,2015,COT,4,9,218,128,0.03125,,,,,,
10,2015,SKR,4,10,219,128,0.03125,,,,,,
10,2015,WCF,3,11,220,128,0.0234375,,,,,,
10,2015,SPB,2,12,221,128,0.015625,,,,,,
10,2015,BBH,1,13,222,128,0.0078125,,,,,,
10,2015,CRP,1,14,223,128,0.0078125,,,,,,
10,2016,ISS,33,1,220,114,0.289473684,,,,,,
10,2016,MSQ,21,2,221,114,0.184210526,,,,,,
10,2016,RES,21,3,222,114,0.184210526,,,,,,
10,2016,LMB,17,4,223,114,0.149122807,,,,,,
10,2016,BGS,9,5,224,114,0.078947368,,,,,,
10,2016,BLP,6,6,225,114,0.052631579,,,,,,
10,2016,COT,2,7,226,114,0.01754386,,,,,,
10,2016,PKM,2,8,227,114,0.01754386,,,,,,
10,2016,WCF,2,9,228,114,0.01754386,,,,,,
10,2016,SPB,1,10,229,114,0.00877193,,,,,,
10,2017,BGS,52,1,230,115,0.452173913,,,,,,
10,2017,RES,27,2,231,115,0.234782609,,,,,,
10,2017,LMB,17,3,232,115,0.147826087,,,,,,
10,2017,BLP,13,4,233,115,0.113043478,,,,,,
10,2017,GSF,3,5,234,115,0.026086957,,,,,,
10,2017,ISS,2,6,235,115,0.017391304,,,,,,
10,2017,LEP,1,7,236,115,0.008695652,,,,,,
