Siteid,year,spname,CountOfsp,Rank-A,adj rank,Sumofnumcaught,Relative-A,,No 11 and 13,,adjusted rank 5 or 10,,,Blue - Native,Yellow -NN
1,2007,COT,68,2,141,228,0.298245614,,,,,,,,
1,2007,RBT,38,3,142,228,0.166666667,,,,,,,,
1,2007,SKR,15,4,143,228,0.065789474,,,,,,,,
1,2007,GSF,2,5,144,228,0.00877193,,,,,,,,
1,2007,PKM,1,6,145,228,0.004385965,,,,,,,,
1,2007,TUP,1,7,146,228,0.004385965,,,,,,,,
1,2008,COT,33,1,150,48,0.6875,,,,,,,,
1,2008,RBT,9,2,151,48,0.1875,,,,,,,,
1,2008,PKM,2,3,152,48,0.041666667,,,,,,,,
1,2008,SBK,2,4,153,48,0.041666667,,,,,,,,
1,2008,SKR,2,5,154,48,0.041666667,,,,,,,,
1,2010,SBK,133,1,160,297,0.447811448,,,,,,,,
1,2010,COT,80,2,161,297,0.269360269,,,,,,,,
1,2010,SKR,42,3,162,297,0.141414141,,,,,,,,
1,2010,RBT,31,4,163,297,0.104377104,,,,,,,,
1,2010,PKM,7,5,164,297,0.023569024,,,,,,,,
1,2010,PLR,3,6,165,297,0.01010101,,,,,,,,
1,2010,LMB,1,7,166,297,0.003367003,,,,,,,,
1,2012,RBT,68,1,170,227,0.299559471,,,,,,,,
1,2012,SBK,50,2,171,227,0.220264317,,,,,,,,
1,2012,COT,42,3,172,227,0.185022026,,,,,,,,
1,2012,PKM,38,4,173,227,0.167400881,,,,,,,,
1,2012,SKR,29,5,174,227,0.127753304,,,,,,,,
1,2014,SBK,130,1,180,285,0.456140351,,,,,,,,
1,2014,RBT,80,2,181,285,0.280701754,,,,,,,,
1,2014,COT,55,3,182,285,0.192982456,,,,,,,,
1,2014,PKM,11,4,183,285,0.038596491,,,,,,,,
1,2014,SKR,5,5,184,285,0.01754386,,,,,,,,
1,2014,LMB,2,6,185,285,0.007017544,,,,,,,,
1,2014,PLR,2,7,186,285,0.007017544,,,,,,,,
1,2015,COT,88,1,190,193,0.455958549,,,,,,,,
1,2015,RBT,36,2,191,193,0.186528497,,,,,,,,
1,2015,SKR,32,3,192,193,0.165803109,,,,,,,,
1,2015,SBK,22,4,193,193,0.113989637,,,,,,,,
1,2015,PKM,12,5,194,193,0.062176166,,,,,,,,
1,2015,LMB,1,6,195,193,0.005181347,,,,,,,,
1,2015,PLR,1,7,196,193,0.005181347,,,,,,,,
1,2015,TUP,1,8,197,193,0.005181347,,,,,,,,
1,2016,COT,151,1,200,437,0.345537757,,,,,,,,
1,2016,SBK,81,2,201,437,0.185354691,,,,,,,,
1,2016,RBT,77,3,202,437,0.176201373,,,,,,,,
1,2016,SKR,67,4,203,437,0.153318078,,,,,,,,
1,2016,PKM,36,5,204,437,0.082379863,,,,,,,,
1,2016,LMB,8,6,205,437,0.018306636,,,,,,,,
1,2016,BGS,7,7,206,437,0.016018307,,,,,,,,
1,2016,PLR,5,7,207,437,0.011441648,,,,,,,,
1,2016,CHN,2,8,208,437,0.004576659,,,,,,,,
1,2016,GSF,2,9,209,437,0.004576659,,,,,,,,
1,2016,SPB,1,10,210,437,0.00228833,,,,,,,,
1,2017,SKR,137,1,210,286,0.479020979,,,,,,,,
1,2017,COT,67,2,211,286,0.234265734,,,,,,,,
1,2017,PKM,38,3,212,286,0.132867133,,,,,,,,
1,2017,RBT,33,4,213,286,0.115384615,,,,,,,,
1,2017,SBK,10,5,214,286,0.034965035,,,,,,,,
1,2017,TUP,1,6,215,286,0.003496503,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
